pseoInstitutionId,name,state,city,lat,lon,tuitionInState,tuitionOutState,roomCost,bookCost,totalCostEstimate,loanPrincipal,pellGrantRate,federalLoanRate,studentsWithAnyLoan,medianDebtOverall,completerDebt,monthlyPayment,gradCohort,gradCohortYears,y1P25Earnings,y1P50Earnings,y1P75Earnings,y1GradsEarn,y1IpedsCount,y5P25Earnings,y5P50Earnings,y5P75Earnings,y5GradsEarn,y5IpedsCount,y10P25Earnings,y10P50Earnings,y10P75Earnings,y10GradsEarn,y10IpedsCount,earningsDebtRatio,matchMethod
00933300,University of Illinois at Springfield,IL,Springfield,39.729524,-89.616796,11911,21526,9760,1200,22871,15000,0.3568,0.4536,0.840417599,15000,19184,191.78,2007,3,30799,43641,61935,1244,1914,41112,57385,79440,1466,1914,51495,70958,105651,1473,1914,2.27,fuzzy
00189200,University of Iowa,IA,Iowa City,41.661935,-91.536425,9606,31569,11590,950,22146,17750,0.1945,0.4182,0.9014402,17750,22500,224.93,2007,3,30268,42950,59264,9831,14868,45557,62601,84625,11759,14868,60614,85330,123278,12135,14868,1.91,exact
00203100,University of Louisiana at Lafayette,LA,Lafayette,30.212191,-92.020165,10358,24086,11144,1300,22802,14250,0.3471,0.4529,0.814551607,14250,22000,219.93,2007,3,29381,41939,57503,4080,6384,41130,54967,76573,4698,6384,48824,65842,97955,4577,6384,1.91,exact
00202000,University of Louisiana at Monroe,LA,Monroe,32.527748,-92.07374,9070,21170,8914,1300,19284,14250,0.3652,0.4091,0.821086262,14250,20751,207.44,2007,3,30144,43930,61230,1781,2671,41140,55513,74769,2009,2671,48809,65715,93177,2010,2671,2.12,exact
00372000,University of Lynchburg,VA,Lynchburg,37.399774,-79.181653,41880,41880,12138,1200,55218,21855,0.3092,0.6942,0.955020921,21855,27000,269.91,2007,3,27641,38509,51712,710,1310,40845,54304,71373,845,1310,49613,66292,94122,912,1310,1.43,exact
00676000,University of Maine - Augusta,ME,Augusta,44.337746,-69.796396,8378,18788,8200,1200,17778,13215,0.4008,0.371,0.753532182,13215,21452,214.45,2007,3,27024,37095,50183,630,795,33813,44571,61014,663,795,36517,51728,76986,654,795,1.73,fuzzy
00204000,University of Maine - Farmington,ME,Farmington,44.666911,-70.147121,9572,20282,10238,900,20710,16756,0.4624,0.6422,0.913669065,16756,24499,244.91,2007,3,25755,34204,42890,944,1205,33058,42610,54438,1113,1205,40730,53115,70677,1101,1205,1.4,fuzzy
00204100,University of Maine - Fort Kent,ME,Fort Kent,47.250389,-68.589319,8475,12885,8010,1000,17485,12500,0.2121,0.2863,0.843585237,12500,21053,210.46,2007,3,29829,46402,65590,253,689,35069,49992,75372,235,689,45466,62026,85242,240,689,2.2,fuzzy
00205500,University of Maine - Machias,ME,Machias,44.708803,-67.458025,8252,15602,8630,800,17682,,0.4006,0.2822,0.695266272,,,,2007,3,19174,28103,40680,100,221,29046,38548,48567,137,221,37179,48276,61827,162,221,,fuzzy
00203300,University of Maine at Presque Isle,ME,Presque Isle,46.672285,-68.016343,8585,12995,8912,900,18397,9099,0.2754,0.3301,0.789795918,9099,17189,171.83,2007,3,24866,31507,38967,263,800,30737,39062,50781,315,800,38079,49894,69822,309,800,1.83,exact
00374600,University of Mary Washington,VA,Fredericksburg,38.302492,-77.476055,13845,30502,11734,1200,26779,15395,0.1932,0.4247,0.90591227,15395,20500,204.93,2007,3,28270,41127,55886,1836,3222,42396,59862,80588,2233,3222,56335,80122,112975,2281,3222,2.01,exact
00232500,University of Michigan,MI,Flint,43.01875,-83.690276,12744,24546,10650,1000,24394,18117,0.3738,0.4996,0.866047232,18117,25240,252.32,2007,3,31958,50693,76820,10736,19893,49706,73866,107332,13992,19893,73003,111433,175152,16251,19893,2.01,fuzzy
00238800,University of Minnesota  Duluth,MN,Duluth,46.817126,-92.084385,13576,18776,8470,1200,23246,16034,0.205,0.518,0.923628908,16034,22514,225.07,2007,3,28113,38868,52236,3732,5407,43498,57937,77507,4372,5407,59567,80535,111004,4401,5407,1.73,exact
00406900,University of Minnesota - Crookston,MN,Crookston,47.802536,-96.606188,12014,12014,9076,1000,22090,13000,0.2121,0.3551,0.897937025,13000,19873,198.66,2007,3,27446,41587,56044,463,686,42077,56819,75444,491,686,57018,71045,92764,501,686,2.09,exact
00396900,University of Minnesota - Twin Cities,MN,Minneapolis,44.972851,-93.235464,15027,33325,10358,1000,26385,16750,0.1786,0.367,0.876880062,16750,19500,194.94,2007,3,31042,45065,65064,13925,21912,46251,63565,88221,15611,21912,63690,89254,129040,16580,21912,2.31,exact
00238900,University of Minnesota Morris,MN,Morris,45.589775,-95.899729,13578,15632,8632,800,23010,12000,0.3142,0.4536,0.8005997,12000,18768,187.62,2007,3,26940,39303,50222,717,1214,38925,50108,62691,855,1214,48509,67126,89742,953,1214,2.09,exact
00251600,University of Missouri - Columbia,MO,Columbia,38.94531,-92.328843,10723,29005,10668,1032,22423,17945,0.2148,0.3769,0.891824249,17945,21000,209.93,2007,3,29287,41838,57251,8853,14370,44352,59604,80972,11155,14370,58141,83231,121497,11289,14370,1.99,exact
00251800,University of Missouri - Kansas City,MO,Kansas City,39.034179,-94.582141,10145,25186,11748,770,22663,14750,0.2394,0.3037,0.836291391,14750,18751,187.45,2007,3,31332,43602,59901,2722,4212,42631,58556,80340,3143,4212,52628,75577,112977,3157,4212,2.33,exact
00251900,University of Missouri - Saint Louis,MO,Saint Louis,38.710312,-90.311091,10573,27972,10432,1000,22005,16779,0.2134,0.2589,0.830553901,16779,20500,204.93,2007,3,30203,42480,57349,4386,6073,40442,54623,72752,4718,6073,50657,71053,100566,4683,6073,2.07,fuzzy
00253600,University of Montana (The),MT,Missoula,46.859312,-113.982912,7430,27256,10154,1100,18684,14499,0.3417,0.4815,0.858226524,14499,21500,214.93,2007,3,24394,32872,44151,2969,5030,33717,47485,65131,3474,5030,45991,64393,90482,3669,5030,1.53,exact
00253700,University of Montana Western (The),MT,Dillon,45.208306,-112.639264,5747,17209,8280,800,14827,12000,0.3792,0.4786,0.804539723,12000,21000,209.93,2007,3,26804,37412,46539,333,454,35792,47939,60682,342,454,47980,60688,76644,336,454,1.78,exact
00201500,University of New Orleans (The),LA,New Orleans,30.027704,-90.067142,9072,13908,9795,1300,20167,10500,0.3891,0.3666,0.767497034,10500,17541,175.35,2007,3,28712,41139,56823,2308,3984,39458,54232,75613,2566,3984,49423,68203,98607,2662,3984,2.35,exact
00290700,University of North Carolina  Asheville,NC,Asheville,35.617068,-82.565392,7244,24592,9950,1200,18394,14500,0.3507,0.4477,0.830260648,14500,20987,209.8,2007,3,23534,32400,43986,1089,2018,32151,44100,58237,1293,2018,44501,61421,85789,1463,2018,1.54,fuzzy
00297400,University of North Carolina - Chapel Hill,NC,Chapel Hill,35.911769,-79.050969,8980,36159,11740,990,21710,13000,0.2286,0.2356,0.69296741,13000,14500,144.95,2007,3,30504,43768,61114,8075,14282,45988,62891,88552,10040,14282,64622,94188,143204,11245,14282,3.02,fuzzy
00297500,University of North Carolina - Charlotte,NC,Charlotte,35.306022,-80.730919,7096,20530,12800,1250,21146,16889,0.3592,0.4883,0.845131866,16889,21668,216.61,2007,3,30600,43536,59283,7109,10310,42710,56882,78884,7963,10310,55337,77407,109839,8054,10310,2.01,fuzzy
00297600,University of North Carolina -Greensboro,NC,Greensboro,36.068236,-79.809414,7403,22562,9482,1000,17885,16279,0.4821,0.5622,0.84386985,16279,23000,229.92,2007,3,28165,39311,50483,4944,7030,38151,48957,63272,5633,7030,49564,63548,86981,5668,7030,1.71,fuzzy
00398100,University of North Carolina School of the Arts,NC,Winston Salem,36.076183,-80.235672,9358,25901,9456,1325,20139,20500,0.2766,0.5339,0.911357341,20500,25000,249.92,2007,3,25246,33609,53747,199,400,31460,46746,69841,256,400,42624,66108,94389,267,400,1.34,exact
00295400,University of North Carolina at Pembroke,NC,Pembroke,34.688313,-79.200347,3456,7456,10660,1505,15621,15094,0.5251,0.5925,0.852768327,15094,25031,250.23,2007,3,30089,41169,50517,1452,2197,37558,46262,58523,1624,2197,47819,58394,75698,1687,2197,1.64,exact
00298400,University of North Carolina at Wilmington (The),NC,Wilmington,34.225223,-77.875527,7181,21246,11346,1130,19657,15750,0.2672,0.4195,0.860728439,15750,20000,199.93,2007,3,26628,37223,49216,4461,7426,38918,50680,68654,5444,7426,51361,67720,97942,5578,7426,1.86,fuzzy
00158500,University of North Georgia,GA,Dahlonega,34.530219,-83.985694,4976,14481,11140,1440,17556,9500,0.2982,0.2817,0.643009605,9500,18750,187.44,2007,3,29402,41248,50847,1493,,40882,52300,63760,1727,,50087,65189,85785,1662,,2.2,exact
00359400,University of North Texas,TX,Denton,33.211178,-97.148422,11090,20906,9888,1000,21978,13750,0.3634,0.487,0.831929466,13750,19200,191.94,2007,3,30257,42594,57855,10975,15962,44112,59189,75843,12289,15962,56239,74709,102471,12151,15962,2.22,exact
00134900,University of Northern Colorado,CO,Greeley,40.410855,-104.692777,10062,22320,11310,1200,22572,13609,0.2745,0.4219,0.854796477,13609,20500,204.93,2007,3,26996,37475,50536,4086,6036,38528,51608,67252,4491,6036,48641,66679,91642,4434,6036,1.83,exact
00189000,University of Northern Iowa,IA,Cedar Falls,42.514923,-92.459703,8938,21222,9160,800,18898,16486,0.2568,0.532,0.91419295,16486,20000,199.93,2007,3,28587,38593,50858,5507,7372,43124,55565,71130,6450,7372,54491,71156,95669,6401,7372,1.93,exact
00237100,University of Northwestern- St Paul,MN,Saint Paul,45.033703,-93.167822,33200,33200,10000,500,43700,17500,0.1739,0.3584,0.926931107,17500,21413,214.06,2007,3,27964,39682,54123,1434,2341,38930,53331,73181,1440,2341,49739,69485,98704,1315,2341,1.85,exact
00322300,University of Oregon,OR,Eugene,44.045146,-123.075792,13857,39309,12783,1140,27780,15040,0.2508,0.3385,0.850877193,15040,20500,204.93,2007,3,25609,35434,49086,6558,11850,38359,54172,73797,8078,11850,54737,77239,111920,8426,11850,1.73,exact
00374400,University of Richmond,VA,University of Richmond,37.577393,-77.538806,56860,56860,13430,1100,71390,18592,0.1918,0.361,0.895757576,18592,20500,204.93,2007,3,36674,52750,73017,1716,2991,53281,77334,107924,2158,2991,71663,112407,170825,2310,2991,2.57,exact
00234500,University of Saint Thomas,MN,Saint Paul,44.943439,-93.188986,47383,47383,11580,1050,60013,19500,0.1842,0.4697,0.947608201,19500,24201,241.93,2007,3,35174,47928,62541,2811,4491,51310,68010,90376,3153,4491,69254,97443,136338,3340,4491,1.98,fuzzy
00344900,University of South Carolina - Aiken,SC,Aiken,33.572704,-81.767612,10760,21218,7946,1240,19946,14250,0.3881,0.5092,0.867822967,14250,24825,248.17,2007,3,28575,40146,54546,970,1431,38284,48802,67761,1091,1431,47284,62349,86916,1090,1431,1.62,exact
00344800,University of South Carolina - Columbia,SC,Columbia,33.996788,-81.026935,12688,33928,10962,1085,24735,19000,0.1949,0.4429,0.909258576,19000,22303,222.96,2007,3,28088,39437,53277,7017,13005,41569,55421,75281,8588,13005,54151,75473,111846,8762,13005,1.77,exact
00345000,University of South Carolina Beaufort,SC,Bluffton,32.303308,-80.973595,10730,21776,8440,1266,20436,14000,0.4167,0.6065,0.892633229,14000,25000,249.92,2007,3,29129,37514,47802,249,370,36393,47335,60387,288,370,48842,61151,83060,273,370,1.5,exact
00695100,University of South Carolina Upstate,SC,Spartanburg,34.996403,-81.970583,11583,23085,8598,1600,21781,15000,0.4475,0.5874,0.891353263,15000,22169,221.62,2007,3,30425,42517,58906,2171,2835,40162,51739,70284,2290,2835,47857,63199,88699,2167,2835,1.92,exact
00347400,University of South Dakota,SD,Vermillion,42.786019,-96.925283,9332,12807,8410,1200,18942,16750,0.2328,0.4908,0.948029891,16750,23500,234.92,2007,3,28035,38547,50020,1698,2675,41444,53482,69662,2203,2675,53158,68938,94452,2272,2675,1.64,exact
